SITE_GAW_ID,DATE,DATE,DATE,TIME,TIME,TIME,END_YEAR,END_MONTH,END_DAY,END_HOUR,END_MIN,END_SEC,CO2_VALUE,CO2_VALUE_UNC,CO2_NVALUE,LAT,LONG,ALT,ELEVATION,INTAKE,QC_flag
CVO,2020,1,7,19,0,0,-999,-9,-9,-9,-9,-9,413.89,0.051,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,20,0,0,-999,-9,-9,-9,-9,-9,413.73,0.045,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,21,0,0,-999,-9,-9,-9,-9,-9,413.51,0.038,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,22,0,0,-999,-9,-9,-9,-9,-9,413.45,0.016,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,23,0,0,-999,-9,-9,-9,-9,-9,413.5,0.075,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,0,0,0,-999,-9,-9,-9,-9,-9,413.7,0.039,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,1,0,0,-999,-9,-9,-9,-9,-9,413.74,0.016,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,2,0,0,-999,-9,-9,-9,-9,-9,413.77,0.019,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,3,0,0,-999,-9,-9,-9,-9,-9,413.77,0.015,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,4,0,0,-999,-9,-9,-9,-9,-9,413.79,0.018,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,5,0,0,-999,-9,-9,-9,-9,-9,413.76,0.029,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,6,0,0,-999,-9,-9,-9,-9,-9,413.8,0.013,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,7,0,0,-999,-9,-9,-9,-9,-9,413.93,0.065,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,8,0,0,-999,-9,-9,-9,-9,-9,413.93,0.04,60,16.864025,-24.867519,10,17,-999.999,0
