SITE_GAW_ID,START_YEAR,START_MONTH,START_DAY,START_HOUR,START_MIN,START_SEC,END_YEAR,END_MONTH,END_DAY,END_HOUR,END_MIN,END_SEC,CO2_Value,CO2_VALUE_UNC,CO2_NVALUE,LAT,LONG,ALT,ELEVATION,INTAKE,QC_Flag
CVO,2016,01,07,04,0,0,-999,-9,-9,-9,-9,-9,403.03,0.013,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,05,0,0,-999,-9,-9,-9,-9,-9,402.99,0.020,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,06,0,0,-999,-9,-9,-9,-9,-9,402.99,0.013,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,07,0,0,-999,-9,-9,-9,-9,-9,402.97,0.028,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,08,0,0,-999,-9,-9,-9,-9,-9,402.95,0.021,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,09,0,0,-999,-9,-9,-9,-9,-9,402.89,0.026,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,10,0,0,-999,-9,-9,-9,-9,-9,402.82,0.035,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,11,0,0,-999,-9,-9,-9,-9,-9,402.78,0.051,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,12,0,0,-999,-9,-9,-9,-9,-9,402.72,0.076,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,13,0,0,-999,-9,-9,-9,-9,-9,402.67,0.084,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,14,0,0,-999,-9,-9,-9,-9,-9,402.67,0.077,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,15,0,0,-999,-9,-9,-9,-9,-9,402.72,0.067,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,16,0,0,-999,-9,-9,-9,-9,-9,402.70,0.065,60,16.864025,-24.867519,10,17,-999.999,0
