Sample No,Start (Local time),Stop (Local time),Nitrate [µg/m³],Ammonium [µg/m³]
1092,20/12/2013 14:31,21/12/2013 14:31,1.6919,0.087
1093,21/12/2013 14:31,22/12/2013 14:31,1.2181,
1094,22/12/2013 14:31,23/12/2013 14:31,1.4997,0.045
1095,23/12/2013 14:31,24/12/2013 14:31,0.9599,0.109
1096,24/12/2013 14:31,25/12/2013 14:31,1.1747,0.056
1097,25/12/2013 14:31,26/12/2013 14:31,1.3066,0.107
1098,26/12/2013 14:31,27/12/2013 14:31,1.591,0.037
1099,27/12/2013 14:31,30/12/2013 14:31,0.8314,0.035
1100,30/12/2013 14:31,31/12/2013 12:11,0.5464,0.077
1101,01/01/2014 08:00,04/01/2014 08:00,1.9014,0.0077
1102,04/01/2014 08:00,07/01/2014 08:00,1.5011,0.0142
1103,07/01/2014 08:00,10/01/2014 08:00,1.539,0.0491
1104,10/01/2014 08:00,13/01/2014 08:00,0.3364,0.0371
1105,13/01/2014 08:00,16/01/2014 08:00,1.8218,0.0244
1106,16/01/2014 08:00,19/01/2014 08:00,0.321,0.0247
1107,19/01/2014 08:00,22/01/2014 08:00,0.321,0.0387
1108,22/01/2014 08:00,25/01/2014 08:00,0.6381,0.0861
1109,25/01/2014 08:00,27/01/2014 15:50,1.2306,0.0089
1110,27/01/2014 15:50,28/01/2014 15:50,1.424,0.0213
1111,28/01/2014 15:50,29/01/2014 15:50,1.3767,0.029
1112,29/01/2014 15:50,30/01/2014 15:50,0.9919,0.0409
1113,30/01/2014 15:50,02/02/2014 15:50,0.6764,0.0094
1114,02/02/2014 15:50,05/02/2014 15:50,0.7092,0.0112
1115,05/02/2014 15:50,08/02/2014 15:50,0.9698,0.0365
1116,08/02/2014 15:50,11/02/2014 15:50,0.9117,0.005
1117,11/02/2014 15:50,12/02/2014 18:28,1.1471,
1118,12/02/2014 18:28,13/02/2014 18:28,1.4548,
1119,13/02/2014 18:28,14/02/2014 18:28,1.3432,0.0254
1120,14/02/2014 18:28,15/02/2014 18:28,0.6687,0.0418
1121,15/02/2014 18:28,16/02/2014 18:28,0.1653,0.0226
1122,16/02/2014 18:28,19/02/2014 18:28,0.3625,0.0161
1123,19/02/2014 18:28,20/02/2014 18:28,0.7789,0.0349
1124,20/02/2014 18:28,23/02/2014 18:28,2.5357,0.0099
1125,23/02/2014 18:28,26/02/2014 18:28,1.16,
1126,26/02/2014 18:28,27/02/2014 18:28,1.362,
1127,27/02/2014 18:28,28/02/2014 18:28,2.1897,0.0331
1128,28/02/2014 18:28,01/03/2014 18:28,1.87,0.0385
1129,01/03/2014 18:28,02/03/2014 18:28,1.9318,0.0332
1130,02/03/2014 18:28,03/03/2014 18:28,1.6153,
1131,03/03/2014 18:28,04/03/2014 18:28,1.1192,0.1128
1132,04/03/2014 18:28,07/03/2014 18:28,0.742,0.0432
1133,07/03/2014 18:28,10/03/2014 18:28,0.2521,0.01
1134,10/03/2014 18:28,13/03/2014 18:28,0.3416,0.0101
1135,13/03/2014 18:28,16/03/2014 18:28,1.8687,0.2172
1136,16/03/2014 18:28,19/03/2014 18:28,1.5608,0.1622
1137,19/03/2014 18:28,22/03/2014 18:28,1.9911,0.0543
1138,22/03/2014 18:28,25/03/2014 18:28,0.8646,0.0121
1139,25/03/2014 18:28,28/03/2014 18:28,1.5453,0.0143
1140,28/03/2014 18:28,31/03/2014 18:28,0.5284,0.0437
1141,31/03/2014 18:28,03/04/2014 18:28,0.5516,0.0806
1142,03/04/2014 18:28,06/04/2014 18:28,0.8249,0.0237
1143,06/04/2014 18:28,09/04/2014 18:28,0.6412,0.0203
1144,09/04/2014 18:28,12/04/2014 18:28,0.5885,0.174
1145,12/04/2014 18:28,15/04/2014 18:28,0.4676,0.193
1146,15/04/2014 18:28,18/04/2014 18:28,0.4268,0.0637
1147,18/04/2014 18:28,21/04/2014 18:28,0.8324,0.0812
1148,21/04/2014 18:28,24/04/2014 18:28,0.737,0.0793
1149,24/04/2014 18:28,27/04/2014 18:28,0.7705,0.0714
1150,27/04/2014 18:28,30/04/2014 18:28,1.4837,0.0726
